id_mu;rural_pop;urban_pop;illiteracy;water;sewerage;garbage;poverty;income;population
230720;3171;4489;25.3;7627;1315;3957;66.99;263.65;7660
230725;11446;5556;24.2;16616;2247;8902;61.71;363.51;17002
230730;9811;240128;15.7;248239;117088;232867;52.86;433.27;249939
230740;9657;14150;30.5;23748;6203;12928;71.88;224.19;23807
230750;12958;18132;26.6;30993;8580;17412;70.09;263.43;31090
230760;23781;32483;18.8;56066;11683;45635;50.91;398.67;56264
230763;9173;8915;26.3;17989;1812;8991;74.56;220.56;18088
230765;1434;207623;9.4;208660;143647;199874;49.71;355.11;209057
230770;27252;86309;15.5;113114;35935;93132;60.47;289.84;113561
230780;9268;15435;26.9;24463;1881;13505;71.94;265.97;24703
230790;2207;8007;28.3;10184;391;7073;75.06;229.15;10214
230800;11208;23983;28;35092;13190;24157;69.04;224.68;35191
230810;20955;23285;28.2;44122;7991;22965;72.67;231.84;44240
230820;6273;7420;17.8;13597;1076;7156;68.71;257.22;13693
230830;14760;13556;25.8;28232;3422;12381;67.48;260.18;28316
230835;7117;5969;27.1;13043;2826;6191;66.1;258.16;13086
230837;5953;6847;32.6;12788;2528;6311;82.94;187.2;12800
230840;18855;15419;26.2;34122;3287;15120;69.05;292.58;34274
230850;23874;18816;33.4;42520;11519;16124;69.71;242.34;42690
230860;7343;9362;30.1;16682;977;9401;71.29;234.1;16705
230870;26664;35401;27.1;61891;5644;33799;64.83;273.71;62065
230880;4466;3604;30.2;8057;514;4045;79.7;171.9;8070
230890;11088;9612;26;20671;4420;11078;73.53;203.09;20700
230900;5036;9066;31.5;14081;2536;8880;71.02;251.89;14102
230910;7287;4198;22.4;11449;3288;6901;72.05;241.5;11485
230920;4560;9696;21.1;14225;5953;9273;72;267.63;14256
230930;7721;23244;25.2;30851;6317;21122;61.12;301.47;30965
230940;13223;14230;32.1;27394;6931;11872;71.51;241.49;27453
230945;16402;7605;29.6;23914;2780;10245;74.63;206.1;24007
230950;5366;16023;29.5;21328;8005;15621;60.43;292.21;21389
230960;11163;50675;18;61716;4206;50307;54.04;347.59;61838
230970;10204;62095;9.5;72120;56457;67678;55.86;329.82;72299
230980;6862;4745;19.4;11572;5349;7835;65.05;277.27;11607
230990;2263;3723;27.7;5965;2613;3998;67.49;261.25;5986
231000;4351;4515;26.7;8855;1419;4714;61.66;281.25;8866
231010;7048;4957;26.2;11970;1678;6278;72.27;313.46;12005
231020;11047;20589;20;31434;9845;23798;65.21;316.17;31636
231025;16606;13435;18.9;29892;8373;15703;65.43;281.12;30041
231030;17203;14106;36.6;31238;8972;14373;74.8;207.87;31309
231040;5768;5540;29.3;11270;1103;5635;77.75;191.48;11308
231050;17380;24510;32.8;41820;14450;23730;72.41;221.47;41890
231060;1827;6399;23.6;8193;4510;5685;63.44;264.64;8226
231070;14006;21394;22.9;35305;9557;21488;72.59;256.85;35400
231080;10324;5433;29.8;15730;1952;5978;74.67;200.5;15757
231085;7403;11280;22.3;18595;267;12856;61.17;294.06;18683
231090;8027;7440;26.4;15416;764;7775;70.93;215.09;15467
231095;6862;3354;28.9;10206;649;3302;79.17;188.75;10216
231100;4203;7798;32.2;11979;1352;4907;73.73;209.51;12001
231110;8872;6189;29.6;15045;4277;6361;74.78;215.84;15061
231120;4562;5714;33.7;10247;800;5585;76.54;212.72;10276
231123;3423;2703;26.6;6099;54;3233;66.61;234.58;6126
231126;13616;6305;32.2;19912;2838;6356;74.37;206.12;19921
231130;23119;57485;20.9;80148;42187;54495;63.63;310.28;80604
231135;10071;4929;36.9;14969;3456;5296;67.98;239.34;15000
231140;28463;43424;23.3;71510;30844;39059;63.64;314.56;71887
231150;7482;11930;25.3;19363;539;14931;64.91;254.65;19412
231160;11281;15134;23.1;26324;4634;16635;63.81;267.52;26415
231170;8865;10590;29.5;19395;1064;9586;72.35;255.92;19455
231180;24881;44952;18.8;69642;19764;49301;50.68;368.95;69833
231190;7297;8455;30.8;15726;1376;8167;73.13;218.11;15752
231195;9190;6263;39.3;15426;1696;4917;78.65;176.47;15453
231200;14574;15372;26.1;42636;9636;17337;72.59;229.69;42763
231210;8348;8822;27;29848;9912;13207;81.06;214.08;29946
231220;20503;22260;28;17127;3564;8957;74.69;210.64;17170
231230;19624;24554;25.9;44047;11659;22595;68.78;257.18;44178
231240;15353;28537;17.8;43761;11516;30851;61.59;301.35;43890
231250;4731;3169;25.7;7881;1830;3302;49.52;371.89;7900
231260;4371;7961;20.9;12298;530;7157;67.73;252.2;12332
231270;10763;15706;25.9;26408;9466;14415;63.73;280.59;26469
231280;1784;5068;31.1;6839;466;2534;72.7;211.97;6852
231290;21923;166310;16.4;186453;140754;164376;53.06;436.87;188233
231300;8559;9106;24.7;17558;2129;8983;65.98;266.77;17665
231310;10398;18806;22.3;29091;7036;18948;52.4;373.81;29204
231320;11249;14202;30.2;25414;2953;11990;73.19;208.81;25451
231325;6286;2624;35.9;8889;197;3703;70.35;212.94;8910
231330;23457;32259;27;55537;17939;33164;66.45;298.93;55716
231335;10492;6335;26.8;16782;460;6986;75.64;198.87;16827
231340;23073;45819;23.9;68567;26979;40990;63.24;384.26;68892
231350;32638;18784;22.2;51249;3045;19001;76.47;203.65;51422
231355;9120;5288;27.3;14396;264;7389;77.38;183.54;14408
231360;16437;15350;23.1;31655;2291;18270;64.61;313.73;31787
231370;3627;3918;30.8;7521;1013;2860;75.28;223.05;7545
231375;7711;11091;27.7;18744;1287;10529;79.46;190.79;18802
231380;5076;14689;22.6;19684;3694;14842;72.76;263.64;19765
231390;5212;7671;37.1;12854;2968;6457;78.96;181.26;12883
231395;3177;14416;24.7;17554;4476;12935;67.16;279.55;17593
231400;14538;23896;27.2;38342;6741;21791;64.3;273.72;38434
231410;37128;17827;31.8;54833;4901;16019;80.23;202.74;54955
